SMILES;pK_BHX
CC12CCC(CC1)C(C)(C)[O:1]2;1.38
C1C[O:1]C1;1.36
CC1CCC[O:1]1;1.34
C1CC[O:1]C1;1.28
C1CC[O:1]CC1;1.23
C1CCC2[O:1]C2C1;1.13
CC1C[O:1]1;0.97
C1CC=C[O:1]1;0.53
C1C[O:1]C=CC1;0.41
CC(C)(C)[OH:1];1.14
CC(C)[OH:1];1.06
CC[OH:1];1.02
C[OH:1];0.82
[OH:1]CCCl;0.50
[OH:1]c1ccc(F)cc1;-0.12
[OH2:1];0.65
C[O:1]c1ccccc1;-0.07
C[O:1]c1ccc(Cl)cc1;-0.25
CC[O:1]c1ccccc1;-0.01
C[O:1]c1ccccc1C;-0.37
C[O:1]c1ccc(C)cc1;0.08
C1Cc2ccccc2[O:1]1;0.21
CC[SH:1];-0.16
CC(C)[SH:1];-0.10
C[S:1]C;0.12
CC[S:1]C;0.18
CCC[S:1]C;0.16
CCCC[S:1]C;0.17
CCCCCCCC[S:1]C;0.17
C[S:1]C1CCCCC1;0.24
C[S:1]C(C)(C)C;0.25
CC[S:1]CC;0.25
CCCC[S:1]CCCC;0.23
CC(C)[S:1]C(C)C;0.30
CC(C)(C)[S:1]C(C)(C)C;0.40
C[S:1]CC=C;0.08
C[S:1]Cc1ccccc1;-0.02
C[S:1]CCCl;-0.12
CC[S:1]C=C;-0.13
C1C[S:1]1;0.03
CC1C[S:1]1;0.10
C1C[S:1]C1;0.13
C1CC[S:1]C1;0.32
C1CC[S:1]CC1;0.23
CN(C)C(Cl)=[S:1];0.50
CN(C)C(=[S:1])c1ccccc1;1.02
CN(C)C=[S:1];1.05
CNC(C)=[S:1];1.14
CN(C)C(=[S:1])c1ccc(C)cc1;1.15
COc1ccc(cc1)C(=[S:1])N(C)C;1.16
CN(C)C(C)=[S:1];1.22
CN(C)C(=[S:1])c1ccc(N)cc1;1.33
[S:1]=C1CCCCCN1;1.60
CN(C)C=NC(=[S:1])N(C)C;1.79
CN1CCN(C)C1=[S:1];1.32
CN(C)C(=[S:1])N(C)C;1.35
CN1CCCNC1=[S:1];2.00
CN(C)C=NC(=[S:1])c1ccccc1;1.23
CSC(=[S:1])N=CN(C)C;1.12
CN(C)C=NC(=[S:1])SCc1ccccc1;1.10
CN(C)C(C)=NC(=[S:1])SCc1ccccc1;1.49
CN=C=[S:1];-0.05
CCP(=[O:1])(CC)CC;3.66
CCCCP(=[O:1])(CCCC)CCCC;3.63
CN(C)P(=[O:1])(N(C)C)N(C)C;3.60
CCCCCCCCP(=[O:1])(CCCCCCCC)CCCCCCCC;3.59
CP(C)(C)=[O:1];3.53
[O:1]=P(c1ccccc1)(c1ccccc1)c1ccccc1;3.16
CCOP(C)(=[O:1])OCC;2.81
CCOP(=[O:1])(OCC)OCC;2.68
CCCCOP(=[O:1])(OCCCC)OCCCC;2.66
COP(=[O:1])(OC)OC;2.50
ClP(=[O:1])(c1ccccc1)c1ccccc1;2.17
ClP(Cl)(=[O:1])c1ccccc1;1.26
ClP(Cl)(Cl)=[O:1];0.56
[O-:1][N+](=O)C=CN1CCCC1;1.62
CCN(CC)C=C[N+]([O-:1])=O;1.58
[O-:1][N+](=O)C=CN1CCCCC1;1.55
CN(C)[N+]([O-:1])=O;0.82
COc1ccc(cc1)[N+]([O-:1])=O;0.50
Cc1ccc(cc1C)[N+]([O-:1])=O;0.46
[O-:1][N+](=O)c1ccccc1;0.30
[O-:1][N+](=O)c1ccc(cc1)C12CC3CC(CC(C3)C1)C2;0.42
Cc1cccc(C)c1[N+]([O-:1])=O;0.29
CC(=O)c1cccc(c1)[N+]([O-:1])=O;0.18
c1csc[n:1]1;1.37
C=Cn1cc[n:1]c1;2.35
c1ccc(cc1)-c1[n:1]c2ccccc2o1;1.18
c1[n:1]c2ccccc2s1;1.29
[O:1]=S1OCCO1;0.87
COS(=[O:1])OC;0.94
CCOS(=[O:1])OCC;1.07
[O:1]=S(c1ccccc1)c1ccccc1;2.04
CS(=[O:1])c1ccccc1;2.24
Cc1ccc(cc1)S(=[O:1])c1ccc(C)cc1;2.21
[O:1]=S(Cc1ccccc1)Cc1ccccc1;2.43
CS(C)=[O:1];2.54
[O:1]=S1CCCC1;2.47
CCCCS(=[O:1])CCCC;2.65
FC(F)(F)c1cccc(c1)C1=[N:1]CCC1;1.52
Fc1cccc(c1)C1=[N:1]CCC1;1.66
C1C[N:1]=C(C1)c1ccccc1;1.98
C(=[N:1]c1ccccc1)c1ccccc1;0.87
C([N:1]=Cc1ccccc1)c1ccccc1;1.18
[NH:1]=C(c1ccccc1)c1ccccc1;1.80
CC(C)(C)[N:1]=Cc1ccccc1;1.29
CCP(=[S:1])(CC)CC;1.46
[O-:1][n+]1cc(Cl)cc(Cl)c1;1.56
C[S:1]CCl;-0.37
[O-][N+](=O)c1cccc(c1)[N:1]=C(Nc1ccccc1)c1ccccc1;0.86
c1c[n:1]oc1;0.81
c1[n:1]oc2ccccc12;0.68
Cn1ccc[n:1]1;1.84
CCCCCCCCP(=[S:1])(CCCCCCCC)CCCCCCCC;1.54
COP(=[S:1])(OC)OC;0.58
CCOP(=[S:1])(OCC)OCC;0.76
[S:1]=P(c1ccccc1)(c1ccccc1)c1ccccc1;1.00
C[NH:1]CCC#N;1.37
C[N:1](C)CCC#N;1.15
